id,Cid_cod,cidade,serie,Idade,etapa,Sex_cod,Sexo,nomedaescola,Escala_1_1,Escala_1_2,Escala_1_3,Escala_1_4,Escala_1_5,Escala_1_6,Escala_1_7,Escala_1_8,Escala_1_9,Escala_2_1,Escala_2_2,Escala_2_3,Escala_2_4,Escala_2_5,Escala_2_6,Escala_2_7,Escala_2_8,Escala_2_9,Escala_2_10,Escala_2_11,Escala_2_12,Escala_2_13,Escala_2_14,Escala_2_15,Escala_2_16,Escala_3_1,Escala_3_2,Escala_3_3,Escala_3_4,Escala_3_5,Escala_3_6,Escala_3_7,Escala_3_8,Escala_4_1,Escala_4_2,Escala_4_3,Escala_4_4,Escala_4_5,Escala_4_6,Escala_4_7,Escala_4_8,Escala_4_9,Escala_5_1,Escala_5_2,Escala_5_3,Escala_5_4,Escala_5_5,Escala_5_6,Escala_5_7,Escala_6_1,Escala_6_2,Escala_6_3,Escala_6_4,Escala_6_5,Escala_6_6,Escala_6_7,Escala_6_8,Escala_7_1,Escala_7_2,Escala_7_3,Escala_7_4,Escala_7_5,Escala_7_6,Escala_7_7,Escala_7_8,Escala_7_9,Escala_7_10,Escala_7_11,Escala_7_12,Escala_7_13,Escala_7_14,Escala_7_15,Escala_7_16,Escala_7_17,Escala_7_18,Escala_7_19,Escala_7_20,Escala_7_21,Escala_7_22,Escala_8_1,Escala_8_2,Escala_8_3,Escala_8_4,Escala_9_1,Escala_9_2,Escala_9_3,Escala_9_4,Escala_9_5,Escala_9_6,Escala_9_7,Escala_9_8,Escala_9_9,Escala_10_1,Escala_10_2,Escala_10_3,Escala_10_4,Escala_10_5,Escala_10_6,Escala_11_1,Escala_11_2,Escala_11_3,Escala_11_4,Escala_11_5,Violenc_redes,Violenc_escolas,Renda,Redes_sociais,Frequencia_Redes,Tempo_Gasto_Redes,Redes_utilizadas_1,Redes_utilizadas_2,Redes_utilizadas_3,Redes_utilizadas_4,Redes_utilizadas_5,Redes_utilizadas_6,Redes_utilizadas_7,Redes_utilizadas_8,Redes_utilizadas_8_TEXT,Utilidade_das_redes_1,Utilidade_das_redes_2,Utilidade_das_redes_3,Utilidade_das_redes_4,Utilidade_das_redes_5,Utilidade_das_redes_5_TEXT,Uso_de_celular,Finalidade_celular_1,Finalidade_celular_2,Finalidade_celular_3,Finalidade_celular_4,Finalidade_celular_5,Finalidade_celular_5_TEXT,F1_escala3,F2_escala3,F1_Escala_4,F2_EScala_4,F3_Escala_4,Maioria_Sexual,Minoria_Sexual,Minoria_Física,PCDs,Maioria_racial,Minoria_racial,Rico,Pobre,Maioria_religiosa,Minoria_religiosa,F1_Escala_9,F2_Escala_9,cor_da_pele,E1_ameacas,E2_situacoes_estresse,E5_disc_pessoal,E6_locais,E7_soma_pertenca,E8_qualid_relacoes,E9_trat_desig_grupos,E10_est_emoc_neg,E11_satisf_vida,E3_4_agentes,E2_6_contextos,E8_9_grupal,E5_10_11_individ,idade_outliers
9,1,Estância,2,17,1 etapa D,2,masculino,1,3,2,1,2,2,3,2,3,5,5,3,5,1,4,1,1,5,1,5,5,4,5,4,2,3,4,4,1,5,5,5,2,5,4,1,4,1,3,1,1,1,1,1,3,1,1,4,1,1,1,5,5,1,1,1,4,5,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,5,5,5,5,1,5,5,5,1,1,1,1,1,2,3,2,4,4,1,4,4,5,3,2,2,,2,1,5,1,1,,1,,1,,,,,,1,,1,,,1,,1,,1,,,4.2,4.666666667,4,1,1,3,0,1,0,0,1,0,1,0,1,1,1,2,2.555555556,3.375,1.714285714,2.875,7,5,2.333333333,2.666666667,3.6,2.8125,3.208333333,3.153846154,2.66031746,1
10,1,Estância,2,18,1º,2,masculino,1,4,1,4,3,5,5,5,3,1,2,1,1,4,1,1,1,1,1,1,2,3,2,1,4,2,1,5,4,5,1,5,1,5,2,1,1,4,5,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,2,1,5,5,5,3,1,1,1,5,2,5,5,1,2,5,1,3,1,1,5,2,,1,1,5,2,,,,,,,,,,1,,,,,,1,1,,,,,,2.6,4,2.5,1.666666667,1,1,0,1,0,0,1,0,1,0,1,2,1,3,3.444444444,1.75,1,1.125,5,1.25,3,3.333333333,2.2,2.5625,1.541666667,2.461538462,2.177777778,1
11,1,Estância,2,16,1 etapa D,1,feminino,1,2,3,1,1,2,3,1,4,1,3,2,1,1,1,1,1,3,4,1,3,2,3,1,1,1,3,4,1,2,2,1,3,4,5,1,4,2,4,1,2,1,1,1,1,1,1,1,3,3,2,2,2,1,4,2,3,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,4,2,3,3,5,5,5,4,2,4,3,2,3,1,1,2,1,1,1,3,3,4,3,1,2,,2,1,5,3,1,,1,1,,,,,,,1,,1,,,1,,,,1,,,2.2,4.333333333,4.25,1.333333333,1,0,1,1,0,0,1,0,1,1,0,3.166666667,1.333333333,2,2,1.8125,1.571428571,2.25,5,3,3.666666667,1.166666667,2.8,2.3125,1.958333333,3.461538462,1.846031746,1
12,1,Estância,2,17,1ª etapa,2,masculino,1,2,3,1,1,2,3,1,4,1,2,3,1,1,1,1,1,3,4,1,3,2,3,1,1,1,3,4,1,2,1,1,3,4,5,1,4,2,4,1,2,1,1,1,1,1,2,1,3,3,2,2,2,1,4,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,3,3,5,5,5,4,2,4,3,2,3,1,1,2,5,3,1,3,3,4,3,1,2,,2,1,5,3,1,,1,,,,,,,,1,,1,,,1,,1,,1,,,2,4.333333333,4.25,1.333333333,1,1,0,1,0,0,1,0,0,0,0,3.166666667,1.333333333,2,2,1.8125,1.714285714,2.25,3,3,3.666666667,2.166666667,2.8,2.25,1.958333333,3.461538462,2.226984127,1
13,1,Estância,2,17,1 etapa D,,.,1,1,4,4,2,,4,2,2,1,2,1,1,2,2,1,1,3,1,1,1,2,4,5,1,1,5,5,2,2,5,1,1,5,1,1,,3,2,3,1,4,3,4,2,5,1,4,1,4,1,4,1,2,4,5,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,2,5,5,5,5,4,2,4,2,4,3,1,3,5,1,4,2,4,5,1,1,4,2,,2,1,2,2,1,,,,,,,,,1,,,,,,1,1,,,,,,2.8,4.666666667,,1.666666667,3.5,0,1,0,0,0,1,0,1,0,0,3.333333333,1.333333333,3,2.5,1.8125,3,3.25,3,2.75,3.777777778,2.666666667,3,2.8,2.291666667,3.461538462,2.888888889,1
14,1,Estância,2,17,1D,1,feminino,1,2,2,2,2,2,3,1,2,2,3,1,1,1,1,1,1,4,1,1,1,1,2,3,1,1,1,5,5,5,3,2,1,5,1,1,5,1,5,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,2,4,5,1,5,5,5,1,5,5,5,5,1,2,2,1,2,1,3,4,4,3,3,2,,1,1,5,2,1,,1,1,,,,,,,1,,,,,1,,,1,1,,,2.4,3.666666667,4,2.333333333,2,0,1,0,0,0,1,0,1,1,0,3.666666667,1,2,2,1.5,1,1,4,3.25,4.111111111,1.5,3.4,2.8125,1.333333333,3.846153846,1.966666667,1
15,1,Estância,2,16,1º,2,masculino,1,1,4,2,1,1,2,4,2,2,3,2,1,3,5,1,,3,1,1,1,3,4,4,1,1,4,5,2,5,5,2,3,4,3,4,4,1,4,3,5,1,4,2,1,1,1,1,1,2,1,2,2,2,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,3,3,4,3,3,3,3,3,5,5,4,5,5,2,2,1,1,2,3,1,1,4,4,2,,1,1,5,3,1,,1,1,,,,,,1,1,,1,,,1,,,,1,,,3.8,4.333333333,4,4.333333333,2,1,0,0,0,1,0,0,1,0,0,4.166666667,3,1,2.111111111,,1.285714286,2,3,3.75,3.777777778,2.166666667,2.6,3.4375,2.173913043,3.769230769,2.017460317,1
16,1,Estância,2,16,1° A,2,masculino,1,3,2,5,5,3,1,5,3,5,1,1,2,3,1,3,4,5,4,2,4,2,4,3,3,3,3,1,5,5,3,5,1,4,4,1,5,3,3,3,3,4,1,3,3,2,4,1,3,2,1,2,4,1,4,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,5,5,3,5,3,4,2,3,2,3,2,3,5,5,1,1,5,4,2,3,2,4,2,,1,,4,,,,,,1,,,,,,,,,,,1,,,1,,,,3.4,2,3.75,1.666666667,3.5,1,0,0,0,0,1,0,0,0,0,2.5,2,2,3.555555556,2.8125,2.571428571,2.625,2,4,3,3.333333333,3,3.1875,2.75,3.307692308,2.968253968,1
16,1,Estância,2,16,1º ano,2,masculino,1,2,4,2,2,1,3,1,2,2,2,1,1,4,3,1,1,4,3,1,1,2,3,1,1,3,3,2,2,4,3,2,1,4,4,1,4,2,2,1,1,1,1,1,1,1,1,2,1,2,3,4,2,2,1,2,3,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,4,4,3,5,4,5,5,5,5,3,3,3,1,1,1,1,1,1,2,2,4,3,4,2,,2,1,5,3,1,,,,,,,,,1,1,1,1,,,2,,,,,,,2.6,3.333333333,3.5,1,1,3,0,1,0,0,1,0,0,1,0,4,1.333333333,2,2.111111111,2,1.285714286,2.25,6,3.75,4.222222222,1,3,2.25,2.083333333,4.076923077,1.761904762,1
17,1,Estância,2,17,1°D,2,masculino,1,1,3,3,4,2,1,4,2,1,4,3,1,3,3,1,2,5,1,1,1,1,3,5,3,3,1,4,5,5,5,1,3,5,3,2,5,1,5,3,2,1,1,1,1,1,3,1,3,3,2,1,1,1,2,1,2,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2,3,5,3,3,5,5,3,5,3,2,3,1,4,,3,2,1,4,4,4,4,5,2,,1,1,4,1,,,1,,,,,,,,,1,,,,1,,,,1,,,3,3.333333333,4.5,1.666666667,2,3,0,1,0,0,1,1,0,0,1,3.166666667,1.666666667,2,2.333333333,2.5,1.857142857,1.375,7,2.75,3.555555556,,4.2,2.9375,2.125,3.307692308,3.028571429,1
17,1,Estância,2,18,1º,2,masculino,1,3,5,5,1,2,3,,2,5,1,1,1,1,1,1,1,1,4,1,1,5,3,3,1,5,1,5,3,1,1,5,5,5,1,1,1,1,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,1,4,5,5,1,5,1,1,1,4,5,5,3,5,2,5,3,5,5,5,2,,1,2,1,2,1,,1,1,1,,,,,1,1,1,1,,,2,1,1,1,1,,,2.6,4.333333333,3,2.333333333,2,1,0,0,0,0,1,0,0,0,0,1.666666667,1.333333333,2,3.25,1.9375,1,1.125,2,1.5,2.666666667,4,4.6,2.5,1.666666667,2.307692308,3.2,1
18,1,Estância,2,17,1,2,masculino,1,2,1,1,2,2,3,1,,1,1,1,1,1,3,1,1,4,1,1,1,3,1,5,1,2,3,5,5,2,2,2,3,5,4,1,5,3,5,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,4,4,,4,1,5,5,5,1,1,1,1,2,1,1,,1,5,1,1,3,4,4,1,2,,2,1,4,1,1,,1,,,,,,,,,1,,,,1,,1,1,1,,,2.4,3.666666667,4.25,1.666666667,2,1,0,1,0,0,1,0,1,1,0,1.166666667,1,3,1.625,1.75,1,1,5,,2.444444444,,2.6,3,1.5,2.833333333,1.8,1
19,1,Estância,2,16,1ª etapa D,1,feminino,1,4,4,2,2,1,2,1,1,1,2,3,1,2,2,1,1,4,1,1,1,4,4,3,3,3,2,2,2,3,1,1,2,5,4,2,3,4,3,1,2,1,1,1,1,1,1,1,5,5,3,5,2,2,1,3,5,4,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,3,4,4,3,4,5,4,4,2,4,4,3,4,2,3,3,1,1,3,1,4,3,3,2,,1,1,5,3,1,,,,,,,,,1,,,1,,,1,,,,1,,,1.8,3.666666667,3,1.666666667,1,2,1,1,0,0,1,0,1,1,0,3.333333333,1.666666667,3,2,2.25,2.142857143,3.125,7,3.5,3.666666667,2.333333333,2.8,2.25,2.541666667,3.615384615,2.425396825,1
19.14,1,Estância,2,17,1ºB,2,masculino,1,1,4,1,1,2,2,1,3,2,1,4,1,4,3,1,1,3,1,1,1,3,2,2,1,1,4,5,3,3,3,2,2,5,2,3,5,3,5,2,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,5,5,1,5,5,5,5,1,2,1,1,1,1,1,1,1,1,1,4,4,4,4,2,,3,1,5,5,1,,1,1,,,,,,,,,,,,1,1,1,1,1,,,2.8,4.333333333,3.75,2.666666667,3.5,1,0,0,0,0,1,0,0,0,0,1.833333333,1,2,1.888888889,1.875,1,1,2,4.5,2.888888889,1,3.4,3.25,1.583333333,3.384615385,1.8,1
20,1,Estância,2,17,1 ano,2,masculino,1,4,4,2,2,4,4,2,4,5,3,3,3,3,3,1,1,5,5,2,3,3,3,2,5,3,4,2,4,2,1,1,4,2,3,1,4,,2,1,5,1,1,1,1,1,2,2,3,3,2,2,1,1,3,2,3,4,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,5,1,4,3,5,3,4,5,2,3,2,3,4,1,1,3,2,2,2,2,4,2,1,3,2,,2,1,5,5,1,,1,,,,,,,1,,1,1,,,1,1,,1,1,,,2.4,2,,2.333333333,1,3,0,1,0,0,1,0,1,0,1,3.166666667,2,2,3.444444444,3,1.857142857,2.25,7,3.25,3.444444444,1.833333333,2.4,2.4,2.75,3.384615385,2.03015873,1
21,1,Estância,2,19,1 E D,,.,1,1,5,2,4,4,,2,4,1,2,3,1,2,4,1,1,5,2,2,,1,3,3,,,3,3,4,5,4,,,4,3,,3,4,,1,,3,,1,1,1,1,1,,3,3,3,3,2,2,,,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,3,3,3,1,5,5,5,1,3,3,3,4,1,1,1,1,1,1,3,4,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,3,0,1,0,0,1,0,0,0,1,2.5,1,2,2.875,,,2.5,6,3,3.333333333,1,3.6,3.363636364,2.368421053,3.230769231,2.3,1
22,1,Estância,2,19,1 E D,2,masculino,1,1,5,2,4,4,3,2,4,1,2,3,1,2,1,1,1,4,2,1,1,3,3,3,3,1,3,3,4,5,4,3,2,4,3,1,3,3,4,2,1,3,3,1,1,1,1,1,1,2,3,3,3,2,2,4,4,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,3,3,3,1,5,5,5,3,4,4,4,2,1,1,1,1,1,1,3,4,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3,3.25,1.666666667,2.5,3,0,1,0,0,1,0,0,0,1,3,1,2,2.888888889,2,1.142857143,2.875,6,3,3.666666667,1,3.6,2.9375,2.291666667,3.461538462,1.914285714,1
23,1,Estância,2,19,1ETPD,2,masculino,1,2,5,4,4,2,3,3,4,4,2,3,3,3,2,3,3,3,3,2,3,4,2,5,1,1,4,1,1,5,5,5,3,5,2,5,3,4,3,2,2,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,2,,2,5,5,4,5,5,5,5,2,2,4,5,2,3,3,2,4,3,3,4,1,não escreveu,1,1,5,1,1,,1,,,,,,,1,,,,,,1,1,1,1,1,,,4.4,3.666666667,2.5,3.333333333,1.5,1,0,0,0,0,2,0,0,0,0,4,1.333333333,2,3.444444444,2.6875,1.428571429,1,3,,4.222222222,3.166666667,3.2,3.1875,2.125,3.75,2.598412698,1
24,1,Estância,2,17,!D,1,feminino,1,2,5,2,3,4,4,2,2,2,2,1,1,1,1,1,1,3,5,3,3,4,4,2,1,2,1,5,2,4,5,5,1,5,5,1,5,1,5,4,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,4,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,3,5,4,2,5,4,3,5,5,5,3,5,5,5,5,5,5,5,1,4,4,,3,2,,,1,5,5,1,,1,1,,,,,,1,1,1,1,,,1,1,1,1,1,,,3.2,4.666666667,5,1,3,1,1,0,0,0,1,0,1,0,1,4.166666667,2,2,2.888888889,2.1875,1.285714286,2.25,5,3.75,4.111111111,5,,3,2.208333333,4,3.142857143,1
